Customer_ID,Country,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
283.0,All,47,12.0,1068,3,1,1,311
283.0,Country 1,47,12.0,1068,3,1,1,311
284.0,All,18,13.0,1157,2,1,1,211
284.0,Country 1,18,13.0,1157,2,1,1,211
286.0,All,17,13.0,507,1,1,1,111
286.0,Country 1,17,13.0,507,1,1,1,111
287.0,All,169,8.0,712,4,1,1,411
287.0,Country 1,169,8.0,712,4,1,1,411
288.0,All,16,13.0,507,1,1,1,111
288.0,Country 1,16,13.0,507,1,1,1,111
289.0,All,16,13.0,1157,1,1,1,111
289.0,Country 1,16,13.0,1157,1,1,1,111
290.0,All,16,13.0,1157,1,1,1,111
290.0,Country 1,16,13.0,1157,1,1,1,111
291.0,All,167,8.0,312,4,1,2,412
291.0,Country 1,167,8.0,312,4,1,2,412
292.0,All,197,7.0,273,4,2,2,422
292.0,Country 1,197,7.0,273,4,2,2,422
293.0,All,44,12.0,1068,3,1,1,311
293.0,Country 1,44,12.0,1068,3,1,1,311
